name,cat,definition,example
Rapine,n.f.,"Désigne le fait de détourner un bien et de s'en emparer. Souvent, la rapine est un vol qui est fait avec violence et surprise.","« Tu serais pas adepte de la rapine ? Parce que t'as volé mon coeur d'artichaut et bah c'est vachement moins pratique pour faire mon risotto de légumes de saison du coup... »"
Prosaïque,adj.,"Prosaïque définit ce qui n'est pas élégant ou ce qui manque d'originalité. Cet adjectif peut également être utilisé pour qualifier des choses réalistes, terre à terre ou banales.","« Ça va vous sembler prosaïque mais j'ai mal. J'ai beau être matinal, j'ai mal. »"
Tintinnabuler,vb.,"Ce verbe a 5 syllabes trouve ses racines dans le latin « tintinnabulum », grelot. Aujourd'hui, tintinnabuler signifie faire une salve de petits bruits aigus et légers, comme celui des clochettes.","« Tout est calme, entends-tu les clochettes tintinnabuler ? Et demain matin, petit garçon, tu trouvera dans tes chaussons, tous les jouets dont tu as rêvé, petit garçon il est l'heure d'aller se coucher. »"
Esotérique,adj.,"Cet adjectif désigne une réalité qui n'est accessible qu'à un public restreint et qui reste incompris ou obscure des autres. Seuls les initiés peuvent comprendre ce qui est ésotérique.","« Yess, jte rejoins asap, j'ai du postpone une confcall avec le CMO sorry » est une phrase ésotérique, compréhensible majoritairement par les fils de la startup nation et autres Fabieng."
Abave,n.m.,"L'abave est simplement le grand-père de ta mère ou la mère de ta grand-mère ! de tes grands-parents ! Il est également possible d'utiliser la forme 'bisaïueux' ou 'trisaïeux'. Abave vient du patois.","« Serait-ce déplacer de faire un exemple en mettant en lien Abave et sa rime riche...? Impossible d'avoir l'avis de mon papi, j'entends pas cque bave l'abave ! »"
Ostentatoire,adj.,"A un comportement ostentatoire quelqu'un qui souhaite montrer à l'ensemble de la planète combien il est rich€ et pui$$ant et qu'il a dla maille, du blé, du flouz, des pépettes, de la thune, du biff, de la moula, du pognon, de l'oseille.","« Peut-on associer le drift en Tesla à un geste ostentatoire ? » Vous avez 12 minutes."
Héliotrope,adj.,"Vous connaissez peut-être le nom commun « l'héliotrope », qui est une plante aux jolies fleurs parfumée souvent violettes. L'adjectif, lui, a deux sens et les doit tous les deux à cette plante. Héliotrope peut désigner la couleur de ces fleurs. Héliotrope désigne aussi le fait de tourner ses fleurs vers le soleil.","« Je te regarde car je suis héliotrope et que tu es le soleil. Tu me fais tourner la tête eheh »"
Esperluette,n.f.,"Grâce à la magnifique esperluette ne formait plus qu'un ! Symbole d'union ou de conditions nécessaires, l'espertuette est le ptit nom du « & », sympa, non ?","Docteur Lucien Johnson - Expert en luette & autres pratiques ésotériques"
Infundibuliforme,adj.,"Pas si facile à prononcer, infundibuliforme est un adjectif pourtant CAPITAL ! Il permet de qualifier toute chose ayant une forme d'entonnoir. Avouez que vous vous portez mieux maintenant que vous savez ça. C'est pour ça que Loquacious existe héhé","Petit moyen mnémotechnique : Un fût-dit but l'iforme, la célébre boisson sponsorisée par Affle, uniquement servie dans des verres en forme d'entonnoir"
Blézimarder,vb.,"Ne vous faites plus jamais avoir et n'hésitez plus à exiger que l'on ne vous blézimarde plus ! Il est intolérable de se faire couper la parole et donc de se faire blézimarder.","« Tu l'aurais entendu ! Un vrai mirliflore, suffisant et irrespectueux... Et cerise sur le potiron, il ne faisait que me blézimarder ! »"
Vernaculaire,adj.,"Vernaculaire permet de décrire une chose propre à une région ou à un pays. Cela permet d'opposer notamment ce qui a une origine locale et ce qui provient d'ailleurs.","« Tu parles bien occitant toi ? Ce serait top que tu me fasses un atelier pour partir à la découverte de ta langue vernaculaire. »"
Pellucide,n.m.,"Cet adjectif sert à qualifier les surfaces transparentes ou translucides. On dirait un mélange de plein de mots un peu en lien mais pas trop trop, c'est cocasse.","Techniquement, le pédiluve est pellucide. Mais d'expérience, il ne garde sa couleur et sa propreté qu'une heure ou deux, avant d'être agrémenté de sable et autres mycoses."
Ductile,adj.,"Est ductile une matière qui se laisse tordre, étendre, malaxer sans rompre. La forme de cette matière est donc changeante et modulable. De façon plus imagé, ductile peut désigner une personne influençable.","L'or est un matériau ductile : il est en effet possible d'en faire des fils extrêmement fins."
Margoulette,n.f.,"Je suis pas archi certaine que « margoulette » soit adapté à Loquacious, mais j'adore ce mot et c'est moi qui décide alors, hop, le voilà ! Margoulette signifie la tête, la figure ou la gueule.","Se casser la margoulette, c'est comme se casser la binette, ça fait peut faire mal au visage."
Potomanie,n.f.,"Vous reconnaissez sûrement « -manie », le suffixe d'une addiction, une passion ou une folie. La potomanie désigne le fait d'être accro à l'eau et d'avoir constamment besoin de boire. /!\ la potomanie est un trouble qui doit être pris au sérieux /!\","Au vue de ta consommation de pastis, je me demande si tu souffrirai pas de potomanie..."
Damasquiner,vb.,"Ce verbe décrit le fait d'ajouter à un métal de fins filets d'or (d'argent ou de cuivre) afin de former un dessin et d'embellir la pièce finale.","« Toi pas besoin de te damasquiner, t'es une personne en or. »"
Célérité,n.f.,"La célérité est une capacité à se déplacer ou à réaliser une action promptement. En chimie, la célérité désigne la vitesse de réaction. En physique, la célérité correspond à la vitesse de propagation d'une onde.","La célérité des ondes sonores varie en fonction du milieu : dans l'air, elle est de 344 mètres par seconde (~1 km en 3 s), dans l'eau la célérité est de 1482 mètres par seconde."
Déférence,n.f.,"Lorsque l'on fait preuve de déférence, c'est que l'on a du respect, de la considération et de l'admiration pour une personne. En général, la déférence pousse à exécuter ses désirs et à s'accorder à sa volonté.","Le chef avait parlé avec enthousiaste et détermination, les scouts partirent donc chercher du bois avec déférence."
Faquin,n.m.,"Le faquin, il y a bien longtemps désignait le mannequin d'entrainement au maniement de la lance. Le faquin est ensuite devenu une insulte qualifiant quelqu'un de méprisable et malhonnête.",""
Pétulant•e,adj.,"Pétulant•e est utilisé pour décrire le comportement de quelqu'un de fougueux, de très dynamique, bouillant et débordant d'énergie.","« Mais qu'est-ce qu'iel fait avec ses roulades là, iel est bien pétulant•e ? » « Ah, oui, il imite la machine à laver. »"
Alacrité,n.f.,"Ce mot un peu barbare cache une signification très chouette : l'alacrité c'est un bon mood, c'est une gaieté, une bonne humeur saupoudrer de pas mal d'entrain.","Aujourd'hui, Loquacious fête son premier mois de vocabulaire, un vif sentiment de fierté et d'alacrité pour son autrice !"
Patafioler,vb.,"Ce verbe a généralement pour sens maudire ou confondre, mais il peut également vouloir dire mépriser (voire même bénir). Fiez-vous au contexte, c'est votre meilleur allié avec patafioler !","« Tu parles sur moi, y a R, craches encore, y'a R, tu voulais m'avoir, tu savais pas comment faire, tu jouais un rôle, je te patafiole. »"
Capillotracté•e,adj.,"Bon, le cnrtl déclare que « cette forme est introuvable », néanmoins, j'adore cet adjectif, alors le voilà. Capillotracté est la traduction en un seul mot de l'expression « tirer par les cheveux » : capillus, cheveux et tracté, tracté. C'est pas merveilleux les néologismes ?","« C'est quand même assez capillotracté de la part des Américains de nous faire croire qu'ils ont marché sur la Lune ! »"
